id,duration,call_date
1,11,2025-01-01 01:26:23
2,162,2025-01-01 02:27:57
3,160,2025-01-04 11:32:56
4,143,2025-01-01 17:16:34
5,119,2025-01-05 19:31:46
6,33,2025-01-01 06:44:24
7,102,2025-01-06 11:18:08
8,92,2025-01-01 17:50:01
9,145,2025-01-04 17:04:03
10,169,2025-01-03 08:36:23
11,76,2025-01-02 12:51:01
12,26,2025-01-05 10:40:44
13,30,2025-01-05 23:08:57
14,69,2025-01-02 16:25:36
15,171,2025-01-04 13:09:46
16,66,2025-01-01 18:50:13
17,69,2025-01-04 11:26:32
18,70,2025-01-03 23:52:28
19,139,2025-01-03 09:17:27
20,118,2025-01-03 01:26:32
21,135,2025-01-01 16:55:04
22,31,2025-01-03 04:19:12
23,64,2025-01-05 06:17:10
24,18,2025-01-03 02:26:16
25,2,2025-01-05 23:46:24
26,28,2025-01-02 08:26:03
27,30,2025-01-06 22:30:32
28,157,2025-01-03 15:24:28
29,95,2025-01-06 18:13:43
30,158,2025-01-04 19:05:20
31,133,2025-01-02 23:40:12
32,56,2025-01-03 02:55:23
33,3,2025-01-03 14:32:33
34,172,2025-01-05 02:07:16
35,91,2025-01-01 13:03:06
36,14,2025-01-04 06:47:26
37,92,2025-01-03 19:39:39
38,110,2025-01-06 01:25:03
39,114,2025-01-06 05:54:26
40,40,2025-01-05 17:44:02
41,45,2025-01-05 06:30:24
42,119,2025-01-01 04:45:00
43,76,2025-01-06 01:15:25
44,137,2025-01-05 22:05:26
45,143,2025-01-02 06:47:00
46,68,2025-01-04 00:34:17
47,123,2025-01-02 08:04:48
48,150,2025-01-03 22:00:58
49,151,2025-01-01 17:36:08
50,70,2025-01-02 09:34:22
51,116,2025-01-06 21:30:55
52,146,2025-01-06 18:50:20
53,112,2025-01-05 15:35:05
54,20,2025-01-05 08:59:58
55,132,2025-01-02 03:25:34
56,164,2025-01-01 20:30:20
57,48,2025-01-04 12:52:17
58,67,2025-01-05 02:14:20
59,95,2025-01-05 19:12:42
60,154,2025-01-02 03:37:46
61,138,2025-01-05 17:09:37
62,34,2025-01-06 20:32:42
63,39,2025-01-04 09:33:11
64,170,2025-01-05 04:37:09
65,95,2025-01-05 09:59:39
66,83,2025-01-04 05:20:49
67,2,2025-01-05 03:55:34
68,145,2025-01-05 21:06:54
69,110,2025-01-01 03:34:25
70,139,2025-01-02 07:48:01
71,132,2025-01-06 04:12:40
72,15,2025-01-06 15:14:50
73,34,2025-01-06 12:23:19
74,78,2025-01-02 05:59:05
75,21,2025-01-02 14:29:46
76,25,2025-01-02 08:16:19
77,167,2025-01-05 17:03:51
78,162,2025-01-05 06:30:49
79,94,2025-01-01 14:41:12
80,133,2025-01-01 13:44:22
81,88,2025-01-01 20:09:32
82,86,2025-01-04 13:50:00
83,30,2025-01-05 00:05:06
84,125,2025-01-06 00:45:06
85,13,2025-01-03 08:07:40
86,126,2025-01-01 20:36:27
87,27,2025-01-05 11:07:45
88,59,2025-01-01 06:06:58
89,21,2025-01-02 16:12:37
90,157,2025-01-03 16:33:12
91,51,2025-01-01 02:08:31
92,101,2025-01-06 21:33:26
93,132,2025-01-05 00:19:54
94,119,2025-01-02 20:14:10
95,80,2025-01-05 08:27:01
96,63,2025-01-01 03:08:14
97,21,2025-01-02 05:23:45
98,166,2025-01-03 03:26:44
99,39,2025-01-03 07:17:12
100,33,2025-01-05 08:46:15
101,62,2025-01-01 11:32:06
102,55,2025-01-04 06:08:11
103,179,2025-01-06 18:47:17
104,171,2025-01-04 00:19:34
105,130,2025-01-04 03:47:51
106,85,2025-01-05 06:57:32
107,84,2025-01-02 07:56:03
108,108,2025-01-06 20:37:41
109,72,2025-01-04 19:03:34
110,9,2025-01-01 16:24:19
111,133,2025-01-03 21:30:49
112,67,2025-01-04 11:44:54
113,38,2025-01-02 21:18:33
114,24,2025-01-05 14:40:41
115,144,2025-01-04 15:20:53
116,117,2025-01-03 06:51:16
117,118,2025-01-01 07:09:43
118,134,2025-01-02 18:30:01
119,69,2025-01-05 19:59:46
120,14,2025-01-02 16:32:05
121,105,2025-01-02 06:56:51
122,118,2025-01-05 22:08:18
123,164,2025-01-02 12:47:18
124,71,2025-01-06 01:07:14
125,31,2025-01-06 11:25:17
126,145,2025-01-02 22:33:08
127,164,2025-01-06 20:43:07
128,130,2025-01-02 14:27:24
129,61,2025-01-03 22:33:51
130,77,2025-01-01 01:29:28
131,87,2025-01-05 06:00:08
132,16,2025-01-01 16:38:58
133,33,2025-01-01 14:20:06
134,21,2025-01-04 12:28:05
135,70,2025-01-05 13:22:01
136,74,2025-01-02 19:44:39
137,140,2025-01-05 08:25:33
138,64,2025-01-03 23:34:50
139,158,2025-01-04 19:41:29
140,92,2025-01-05 15:16:51
141,112,2025-01-01 05:07:10
142,54,2025-01-03 05:44:52
143,99,2025-01-06 19:10:02
144,143,2025-01-02 09:57:08
145,54,2025-01-02 14:28:24
146,149,2025-01-01 04:14:09
147,24,2025-01-03 17:26:57
148,37,2025-01-01 20:03:41
149,125,2025-01-03 07:56:08
